"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL553212";"";"0";"258.75";"0";"0.22";"5w";"[Cl-].C[n+]1ccn(CCN2CCCC2)c1\C=N\O";"IC50";"'='";"17900";"nM";"4.75";"";"";"UO_0000065";"21.26";"0.41";"4.53";"10.63";"False";"CHEMBL644834";"In vitro concentration of compound required for reversibly inhibiting 50% of human anticholinesterase activity";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125664";"1";"Scientific Literature";"J. Med. Chem.";"1991";""
"CHEMBL87320";"";"0";"486.47";"0";"4.38";"26";"[Br-].COCC[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1";"IC50";"'='";"53";"nM";"7.28";"";"";"UO_0000065";"17.9";"0.35";"2.9";"16.25";"False";"CHEMBL644831";"Concentration required for the inhibition of acetylcholinesterase";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135325";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";""
"CHEMBL224981";"";"0";"489.61";"1";"6.42";"14";"COc1cc2Oc3cc(OCCCCCCCN(C)Cc4ccccc4)ccc3C(=O)c2cc1OC";"IC50";"'='";"2320";"nM";"5.63";"";"";"UO_0000065";"11.51";"0.21";"-0.79";"9.22";"False";"CHEMBL915960";"Inhibition of human erythrocyte AchE";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144481";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";""
"CHEMBL153311";"";"0";"358.49";"0";"2.06";"6";"CNC(=C(C#N)C#N)NCCNCc1oc(CN(C(C)C)C(C)C)cc1";"IC50";"'='";"2100";"nM";"5.68";"";"";"UO_0000065";"15.84";"0.3";"3.62";"5.67";"False";"CHEMBL636834";"Inhibition of guinea pig acetylcholinesterase";"B";"BAO_0000357";"single protein format";"Cavia porcellus";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126972";"1";"Scientific Literature";"J. Med. Chem.";"1993";""
"CHEMBL155111";"";"0";"340.43";"0";"1.13";"18";"N#CC(=C1NCCN1CCNCc2oc(CN3CCCC3)cc2)C#N";"IC50";"'='";"80";"nM";"7.1";"";"";"UO_0000065";"20.85";"0.39";"5.97";"7.78";"False";"CHEMBL636834";"Inhibition of guinea pig acetylcholinesterase";"B";"BAO_0000357";"single protein format";"Cavia porcellus";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126972";"1";"Scientific Literature";"J. Med. Chem.";"1993";""
"CHEMBL1203534";"";"0";"388.9";"0";"1.3";"29";"Cl.N#CC(=C1NCCN1CCNCc2oc(CN3CCC=CC3)cc2)C#N";"IC50";"'='";"95";"nM";"7.02";"";"";"UO_0000065";"19.92";"0.37";"5.72";"7.69";"False";"CHEMBL636834";"Inhibition of guinea pig acetylcholinesterase";"B";"BAO_0000357";"single protein format";"Cavia porcellus";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126972";"1";"Scientific Literature";"J. Med. Chem.";"1993";""
"CHEMBL87128";"";"0";"436.37";"0";"4.04";"37";"[Br-].CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1";"IC50";"'='";"280";"nM";"6.55";"";"";"UO_0000065";"18.38";"0.36";"2.51";"16.63";"False";"CHEMBL644831";"Concentration required for the inhibition of acetylcholinesterase";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135325";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";""
"CHEMBL435373";"";"0";"296.29";"0";"2.95";"3";"CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C/2=C/C(F)(F)F";"IC50";"'='";"2000";"nM";"5.7";"";"";"UO_0000065";"19.23";"0.37";"2.75";"9.64";"False";"CHEMBL643374";"In vitro inhibitory activity against Acetylcholinesterase (AChE).";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129143";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1996";""
"CHEMBL314800";"";"0";"264.35";"0";"4.09";"2d";"Nc1c2SCc3ccccc3c2nc4ccccc14";"IC50";"'='";"18580";"nM";"4.73";"";"";"UO_0000065";"17.9";"0.34";"0.64";"12.16";"False";"CHEMBL644115";"Compound was tested in vitro for inhibitory activity against Acetylcholinesterase";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149992";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1997";""
"CHEMBL295017";"";"0";"302.19";"0";"3.56";"1d";"CCCS\C(=N/O)\C(=O)c1ccc(Br)cc1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL644103";"Compound was evaluated for Reversible inhibition of Human AchE; Not determined";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123431";"1";"Scientific Literature";"J. Med. Chem.";"1986";""
"CHEMBL297316";"";"0";"320.82";"0";"2.24";"1s";"[Cl-].C[N+](C)(C)CCS\C(=N/O)\C(=O)c1ccc(F)cc1";"IC50";"'>'";"1000000";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL644102";"Reversible inhibition of Human AchE";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123431";"1";"Scientific Literature";"J. Med. Chem.";"1986";""
"CHEMBL64011";"";"0";"472.67";"0";"4.21";"7h";"CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)NCCCCCCCCCN4CCOCC4)cc23";"IC50";"'='";"60";"nM";"7.22";"";"";"UO_0000065";"15.28";"0.29";"3.01";"12.61";"False";"CHEMBL645001";"Inhibition of Acetylcholinesterase (AChE) from human RBC";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128816";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1995";""
"CHEMBL93123";"";"0";"439.56";"1";"5.92";"1h";"O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c5ccccc5";"IC50";"'='";"9.4";"nM";"8.03";"";"";"UO_0000065";"18.26";"0.33";"2.11";"13.75";"True";"CHEMBL644105";"Evaluated for the in vitro inhibition of the Acetylcholinesterase (AChE) from human erythrocytes";"B";"BAO_0000019";"assay format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127437";"1";"Scientific Literature";"J. Med. Chem.";"1994";""
"CHEMBL62664";"";"0";"500.73";"1";"4.99";"7l";"CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)NCCCCCCCCCCCN4CCOCC4)cc23";"IC50";"'='";"40";"nM";"7.4";"";"";"UO_0000065";"14.77";"0.28";"2.41";"12.92";"False";"CHEMBL645001";"Inhibition of Acetylcholinesterase (AChE) from human RBC";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128816";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1995";""
"CHEMBL106126";"";"0";"266.34";"0";"2.57";"7";"CC(C)C1=C(C)N(OC1=O)C(=O)N2CCC[C@H](C)C2";"IC50";"'='";"17000";"nM";"4.77";"";"";"UO_0000065";"17.91";"0.34";"2.2";"8.6";"False";"CHEMBL643384";"Inhibitory concentration against acetylcholinesterase";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148382";"1";"Scientific Literature";"J. Med. Chem.";"2004";""
"CHEMBL134382";"";"0";"540.84";"2";"6.05";"3";"COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc2ccccc2OC";"IC50";"'='";"138038426460289";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL638603";"Inhibition of acetylcholinesterase (AChE) of human erythrocytes";"B";"BAO_0000019";"assay format";"Homo sapiens";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131149";"1";"Scientific Literature";"J. Med. Chem.";"1998";""
"CHEMBL296429";"";"0";"316.85";"0";"2.4";"1v";"[Cl-].Cc1ccc(cc1)C(=O)\C(=N\O)\SCC[N+](C)(C)C";"IC50";"'>'";"1000000";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL644102";"Reversible inhibition of Human AchE";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123431";"1";"Scientific Literature";"J. Med. Chem.";"1986";""
"CHEMBL336276";"";"0";"346.5";"0";"4.46";"2e";"CCCCCCSc1nc(nn1C(=O)N(C)C)c2ccc(C)cc2";"IC50";"'='";"200";"nM";"6.7";"";"";"UO_0000065";"19.33";"0.38";"2.24";"13.13";"False";"CHEMBL643384";"Inhibitory concentration against acetylcholinesterase";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148382";"1";"Scientific Literature";"J. Med. Chem.";"2004";""
"CHEMBL176585";"";"0";"634.99";"2";"8.41";"6";"CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1)Cc2ccccc2";"IC50";"'='";"48.98";"nM";"7.31";"";"";"UO_0000065";"11.51";"0.22";"-1.1";"15.52";"False";"CHEMBL638449";"Inhibitory concentration against acetylcholinesterase from human erythrocytes";"B";"BAO_0000019";"assay format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136713";"1";"Scientific Literature";"J. Med. Chem.";"2003";""
"CHEMBL337714";"";"0";"330.34";"0";"3.22";"2h";"CSc1nc(nn1C(=O)N(C)C)c2ccc(cc2)C(F)(F)F";"IC50";"'='";"500";"nM";"6.3";"";"";"UO_0000065";"19.07";"0.39";"3.08";"12.35";"False";"CHEMBL643384";"Inhibitory concentration against acetylcholinesterase";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148382";"1";"Scientific Literature";"J. Med. Chem.";"2004";""
